,"Artibonite","","Anse Rouge","1ère L'Arbre","Anba Morne Porte","Localité","IHSI"
,"Artibonite","","Anse Rouge","1ère L'Arbre","Atrel","Localité","IHSI"
,"Artibonite","","Anse Rouge","1ère L'Arbre","Au Piton","Localité","IHSI"
,"Artibonite","","Anse Rouge","1ère L'Arbre","Bas l'Arbre","Localité","IHSI"
,"Artibonite","","Anse Rouge","1ère L'Arbre","Bassin Congue","Localité","IHSI"
,"Artibonite","","Anse Rouge","1ère L'Arbre","Baurin","Localité","IHSI"
,"Artibonite","","Anse Rouge","1ère L'Arbre","Bois Blanc","Localité","IHSI"
,"Artibonite","","Anse Rouge","1ère L'Arbre","Chapineau","Localité","IHSI"
,"Artibonite","","Anse Rouge","1ère L'Arbre","Chauvelet","Localité","IHSI"
,"Artibonite","","Anse Rouge","1ère L'Arbre","Chevalier","Localité","IHSI"
,"Artibonite","","Anse Rouge","1ère L'Arbre","Co Foyenne","Habitation","IHSI"
,"Artibonite","","Anse Rouge","1ère L'Arbre","Couline l'Arbre","Habitation","IHSI"
,"Artibonite","","Anse Rouge","1ère L'Arbre","David","Habitation","IHSI"
,"Artibonite","","Anse Rouge","1ère L'Arbre","Deshommes","Habitation","IHSI"
,"Artibonite","","Anse Rouge","1ère L'Arbre","Dubois","Localité","IHSI"
,"Artibonite","","Anse Rouge","1ère L'Arbre","Duveneille","Localité","IHSI"
,"Artibonite","","Anse Rouge","1ère L'Arbre","Duverger","Localité","IHSI"
,"Artibonite","","Anse Rouge","1ère L'Arbre","Frigère","Localité","IHSI"
,"Artibonite","","Anse Rouge","1ère L'Arbre","Glaci","Localité","IHSI"
,"Artibonite","","Anse Rouge","1ère L'Arbre","Grand Diable","Localité","IHSI"
,"Artibonite","","Anse Rouge","1ère L'Arbre","Grand Platon","Localité","IHSI"
,"Artibonite","","Anse Rouge","1ère L'Arbre","Grand Port","Localité","IHSI"
,"Artibonite","","Anse Rouge","1ère L'Arbre","Grande Falaise","Localité","IHSI"
